Sampling Method,Model,Accuracy
Random Sampling,M1,0.6667
Random Sampling,M2,0.6667
Random Sampling,M3,0.6667
Random Sampling,M4,0.5
Random Sampling,M5,0.1667
Stratified Sampling,M1,0.3333
Stratified Sampling,M2,0.3333
Stratified Sampling,M3,0.5
Stratified Sampling,M4,0.5
Stratified Sampling,M5,0.6667
Cluster Sampling,M1,0.6667
Cluster Sampling,M2,0.3333
Cluster Sampling,M3,0.0
Cluster Sampling,M4,0.6667
Cluster Sampling,M5,0.3333
Bootstrap Sampling,M1,1.0
Bootstrap Sampling,M2,0.5
Bootstrap Sampling,M3,0.8333
Bootstrap Sampling,M4,0.8333
Bootstrap Sampling,M5,0.3333
K-Fold Sampling,M1,0.5333
K-Fold Sampling,M2,0.6333
K-Fold Sampling,M3,0.4667
K-Fold Sampling,M4,0.3833
K-Fold Sampling,M5,0.4333
